,City,Lat,Lng,Max Temperature (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,bondoukou,8.03,-2.8,88.59,55,50,2.73,CI,1591633160
1,cap malheureux,-19.98,57.61,70.0,68,0,5.99,MU,1591633161
2,lebu,-37.62,-73.65,53.71,83,94,5.26,CL,1591633161
3,albany,42.6,-73.97,73.99,35,49,10.02,US,1591632884
4,tasiilaq,65.61,-37.64,41.0,85,75,24.16,GL,1591633161
5,esperance,-33.87,121.9,51.8,62,38,9.17,AU,1591633162
6,qaanaaq,77.48,-69.36,34.02,83,0,5.3,GL,1591633162
7,ahipara,-35.17,173.17,53.56,69,86,4.32,NZ,1591633163
8,oshnaviyeh,37.04,45.1,77.0,33,0,4.7,IR,1591633163
9,katsina,12.99,7.6,100.62,24,19,11.14,NG,1591633163
10,hermanus,-34.42,19.23,61.0,72,40,3.0,ZA,1591633163
11,jamestown,42.1,-79.24,68.0,55,1,3.36,US,1591633163
12,ushuaia,-54.8,-68.3,41.0,60,40,11.41,AR,1591633163
13,castro,-24.79,-50.01,71.82,69,7,9.42,BR,1591633164
14,ariquemes,-9.91,-63.04,88.93,55,0,4.0,BR,1591633164
15,koungheul,13.98,-14.8,100.62,28,100,0.6,SN,1591633165
16,ivdel,60.69,60.42,72.82,51,0,4.68,RU,1591633165
17,yulara,-25.24,130.99,48.2,45,0,6.93,AU,1591633165
18,dikson,73.51,80.55,35.74,82,0,13.0,RU,1591633165
19,yar-sale,66.83,70.83,53.19,63,81,12.35,RU,1591633165
20,margate,51.38,1.39,60.01,62,19,4.0,GB,1591633114
21,novikovo,51.15,37.89,76.96,66,10,5.46,RU,1591633166
22,kapaa,22.08,-159.32,71.6,100,20,6.93,US,1591633166
23,severo-kurilsk,50.68,156.12,43.65,91,100,6.35,RU,1591633166
24,avera,33.19,-82.53,80.6,94,90,4.7,US,1591633167
25,punta arenas,-53.15,-70.92,39.2,80,20,28.86,CL,1591633168
26,sept-iles,50.2,-66.38,55.99,54,75,11.41,CA,1591632954
27,hay river,60.82,-115.8,37.4,93,90,9.17,CA,1591632958
28,chalons-en-champagne,48.95,4.37,66.2,59,75,16.11,FR,1591633170
29,talaya,61.38,152.75,47.98,59,100,6.51,RU,1591633170
30,sangar,63.92,127.47,58.51,63,100,13.24,RU,1591633170
31,pueblo nuevo,23.38,-105.38,67.64,76,93,3.76,MX,1591633171
32,atuona,-9.8,-139.03,80.73,78,10,11.39,PF,1591633171
33,bredasdorp,-34.53,20.04,57.2,82,53,3.36,ZA,1591633172
34,rikitea,-23.12,-134.97,76.91,81,30,17.94,PF,1591633172
35,bereda,43.27,-7.54,63.0,62,55,11.99,ES,1591633173
36,mataura,-46.19,168.86,47.26,80,98,9.37,NZ,1591633174
37,port hardy,50.7,-127.42,51.8,71,75,6.93,CA,1591633174
38,los llanos de aridane,28.66,-17.92,75.2,69,75,13.87,ES,1591633174
39,taian,36.19,117.12,87.01,42,98,5.79,CN,1591633175
40,saldanha,-33.01,17.94,60.8,77,57,2.24,ZA,1591633175
41,boulder city,35.98,-114.83,64.4,13,1,18.34,US,1591633176
42,san patricio,19.22,-104.7,82.4,83,40,11.41,MX,1591633176
43,busselton,-33.65,115.33,50.0,71,37,4.18,AU,1591633177
44,altus,34.64,-99.33,87.8,48,1,12.75,US,1591633177
45,markova,48.68,24.41,78.8,47,85,6.71,UA,1591633178
46,aykhal,66.0,111.5,48.2,66,40,20.13,RU,1591633178
47,korla,41.76,86.15,80.01,48,55,5.01,CN,1591633178
48,saint-philippe,-21.36,55.77,69.8,68,62,19.46,RE,1591633179
49,ribeira grande,38.52,-28.7,66.2,63,75,8.05,PT,1591633179
50,cape town,-33.93,18.42,59.0,93,20,8.05,ZA,1591633179
51,ilulissat,69.22,-51.1,35.6,80,90,3.36,GL,1591633180
52,aksarka,66.56,67.8,66.63,54,61,6.87,RU,1591633180
53,chirongui,-12.93,45.15,78.8,74,20,4.7,YT,1591633181
54,inhambane,-23.86,35.38,71.6,78,40,5.82,MZ,1591633181
55,sayyan,15.17,44.32,72.1,22,34,7.49,YE,1591633181
56,kruisfontein,-34.0,24.73,66.85,28,0,5.68,ZA,1591633182
57,sivaki,52.63,126.75,58.62,96,100,4.34,RU,1591633182
58,itarema,-2.92,-39.92,84.72,70,94,10.36,BR,1591633182
59,saskylakh,71.92,114.08,35.26,80,100,9.8,RU,1591633182
60,provideniya,64.38,-173.3,45.84,63,69,1.32,RU,1591633183
61,yellowknife,62.46,-114.35,44.6,65,90,26.4,CA,1591633121
62,goderich,43.75,-81.72,61.0,78,0,4.47,CA,1591633184
63,siuna,13.73,-84.78,87.66,63,23,2.91,NI,1591633185
64,alofi,-19.06,-169.92,71.6,94,75,1.12,NU,1591632908
65,cabo san lucas,22.89,-109.91,78.8,47,5,3.36,MX,1591633166
66,husavik,66.04,-17.34,53.6,76,90,8.05,IS,1591633185
67,avarua,-21.21,-159.78,62.6,100,39,2.24,CK,1591633186
68,puerto ayora,-0.74,-90.35,77.0,78,75,13.87,EC,1591633186
69,eyrarbakki,63.86,-21.15,50.0,93,90,11.41,IS,1591633186
70,hobart,-42.88,147.33,42.8,75,0,8.05,AU,1591633186
71,daru,-9.08,143.21,78.3,80,59,16.35,PG,1591633187
72,asfi,32.3,-9.24,72.34,69,6,22.59,MA,1591633187
73,port shepstone,-30.74,30.45,67.39,64,0,9.33,ZA,1591633187
74,leningradskiy,69.38,178.42,35.89,90,47,6.4,RU,1591633188
75,codrington,-38.27,141.97,42.33,84,13,6.64,AU,1591633188
76,chauny,49.62,3.22,62.01,87,90,18.34,FR,1591633188
77,chapais,49.78,-74.85,53.6,46,20,9.17,CA,1591633188
78,benghazi,32.12,20.07,79.86,43,87,5.7,LY,1591633189
79,vaini,-21.2,-175.2,71.6,94,90,6.93,TO,1591633189
80,tuktoyaktuk,69.45,-133.04,51.8,57,75,11.41,CA,1591633189
81,barrow,71.29,-156.79,28.4,92,90,2.17,US,1591633189
82,nikolskoye,59.7,30.79,84.2,42,45,6.71,RU,1591633190
83,san carlos de bariloche,-41.15,-71.31,41.0,80,75,20.8,AR,1591632979
84,verkhovazhye,60.75,42.05,75.74,61,43,3.98,RU,1591633190
85,takoradi,4.88,-1.76,82.33,78,71,12.41,GH,1591633190
86,acapulco,16.86,-99.89,86.0,62,20,4.7,MX,1591632950
87,qasigiannguit,68.82,-51.19,35.6,80,90,3.36,GL,1591633191
88,byron bay,-28.65,153.62,57.2,67,32,9.17,AU,1591633191
89,roblin,51.23,-101.36,69.28,66,5,4.12,CA,1591633191
90,petropavlovsk-kamchatskiy,53.05,158.65,46.4,75,75,4.47,RU,1591633192
91,matagami,49.75,-77.63,50.0,57,1,2.24,CA,1591633192
92,bengkulu,-3.8,102.27,78.13,85,100,4.25,ID,1591633193
93,krasnoselkup,65.7,82.47,51.8,45,0,9.71,RU,1591633193
94,cherskiy,68.75,161.3,59.58,47,7,10.0,RU,1591633194
95,la ronge,55.1,-105.28,51.8,93,90,8.05,CA,1591633194
96,seymchan,62.88,152.43,53.44,43,100,5.37,RU,1591633194
97,port alfred,-33.59,26.89,69.01,52,0,4.0,ZA,1591633194
98,lingdong,46.57,131.15,64.83,90,86,3.29,CN,1591633195
99,buala,-8.14,159.59,80.64,78,72,2.8,SB,1591633195
100,sembe,1.65,14.58,78.06,83,84,2.48,CG,1591633195
101,new norfolk,-42.78,147.06,39.99,88,2,3.2,AU,1591633195
102,hambantota,6.12,81.12,82.4,88,100,5.82,LK,1591633196
103,puerto quijarro,-17.78,-57.77,93.33,41,12,6.67,BO,1591633196
104,javanrud,34.8,46.52,70.05,27,0,1.12,IR,1591633196
105,faanui,-16.48,-151.75,78.53,68,58,9.28,PF,1591633196
106,bluff,-46.6,168.33,51.6,75,87,27.98,NZ,1591633197
107,bethel,41.37,-73.41,71.01,43,1,10.29,US,1591632960
108,butaritari,3.07,172.79,82.63,77,1,9.53,KI,1591633197
109,sur,22.57,59.53,85.32,75,0,12.15,OM,1591633197
110,kloulklubed,7.04,134.26,75.2,94,90,6.35,PW,1591633198
111,mahebourg,-20.41,57.7,71.6,56,40,18.34,MU,1591633198
112,lamu,-2.27,40.9,78.35,81,34,16.58,KE,1591632901
113,alice springs,-23.7,133.88,37.4,59,0,6.08,AU,1591633199
114,thompson,55.74,-97.86,48.2,93,90,13.87,CA,1591633031
115,kavieng,-2.57,150.8,83.73,72,83,6.02,PG,1591633199
116,sao filipe,14.9,-24.5,77.25,74,30,10.33,CV,1591633200
117,souillac,-20.52,57.52,71.6,56,40,18.34,MU,1591633200
118,itoman,26.12,127.67,75.2,94,75,12.75,JP,1591633200
119,aljezur,37.32,-8.8,73.99,42,0,18.07,PT,1591633200
120,baykit,61.67,96.37,42.87,82,100,4.63,RU,1591632912
121,watsa,3.04,29.54,69.12,96,70,2.42,CD,1591633200
122,gharghoda,22.17,83.35,92.16,35,32,2.15,IN,1591633201
123,ulefoss,59.28,9.26,57.99,73,86,1.03,NO,1591633202
124,milkovo,54.72,158.62,46.22,88,100,9.51,RU,1591633202
125,bonavista,48.65,-53.11,45.0,82,100,1.01,CA,1591633202
126,tuatapere,-46.13,167.68,48.88,80,89,12.91,NZ,1591633203
127,hilo,19.73,-155.09,73.4,73,90,8.05,US,1591633203
128,soller,39.77,2.72,64.99,88,100,5.82,ES,1591633203
129,xinmin,41.99,122.83,75.2,60,100,4.47,CN,1591633204
130,bambous virieux,-20.34,57.76,71.6,56,40,18.34,MU,1591633204
131,tiksi,71.69,128.87,32.45,97,100,13.58,RU,1591633204
132,bonthe,7.53,-12.51,82.83,73,100,9.42,SL,1591633204
133,ballina,-28.87,153.57,57.2,67,33,9.17,AU,1591633205
134,kokstad,-30.55,29.42,52.16,43,0,2.24,ZA,1591633205
135,namatanai,-3.67,152.43,80.69,80,92,5.39,PG,1591633205
136,mehamn,71.04,27.85,50.0,66,75,19.46,NO,1591633205
